序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1.球内任取四点,连起来构成的三棱锥包括球心的概率是多少？	2.你觉得其他人上一题可能会回答什么？(如果有多请用逗号隔开：比如一种答案可能是：1/2,2/3,3)	"3. 请计算下式:"	4.你觉得其他人上一题可能会回答什么？(要求同上)	5.有各棱长均相等的一正三棱锥和一正四棱锥,当将它们的一侧面完全重合地粘贴在一起后,新形成的几何体有几外露面？	6.你觉得其他人上一题可能会回答什么？(要求同上)	7.已知小数0.1234567891011121314...是一由连续自然数拼接组成的无限不循环小数,问小数点后面出现的第一201中的2是小数点后面第几位？	8.你觉得其他人上一题可能会回答什么？(要求同上)	9.幼儿园老师小M让所有小盆友站成一横排发水果,分法如下：从左边第一人开始,每隔2人发一梨。从右边第一人开始,每隔4人发一苹果。共有9小盆友既得到了梨,又得到了苹果。幼儿园最多有多少小朋友？	10.你觉得其他人上一题可能会回答什么？(要求同上)	11.一四分钟标准的沙漏和一五分钟标准的沙漏进行6分钟的计时,中途至少需要将沙漏颠倒几?	12.你觉得其他人上一题可能会回答什么？(要求同上)	13.图中是一直径为2的半圆,点C,D,E将直径AB平分成四份,用○标出的角度均为45°,请问蓝色部分和黄色部分的面积相差多少？	14.你觉得其他人上一题可能会回答什么？(要求同上)	15.有无数石头从1号开始排成一列,Alice从1号石头出发,每丢一六面骰决定向前走几石头。用p(x)表示Alice经过第x石头的概率(比如p(1)=1,p(2)=1/6),请问当x趋向于无穷时,p(x)会收敛到几？	16.你觉得其他人上一题可能会回答什么？(要求同上)	"17.如下图,九边长为正整数的正方形无重叠无间隙地拼成了一矩形,求这矩形面积的最小值。"	18.你觉得其他人上一题可能会回答什么？(要求同上)	19.如图,矩形的一条长平均分成了六份,另一条长平均分成了四份。如果蓝色三角形的面积是18,那么“?” 所在的部分的面积是多少？	20.你觉得其他人上一题可能会回答什么？(要求同上)
39	2021/1/26 23:19:14	1940秒	微信	Baker221[男,,]	1.206.224.58(贵州-六盘水)	0	0,1/3	1/2	0	7	7	493	200,491,492,494	不知道	不知道	2	3,1	1pi/8	1/8	1	0	16	25,36	24	36,25
40	2021/1/26 23:40:20	529秒	微信	Alex[未知,,]	115.27.200.200(北京-北京)	1/2	1/2	1/2	1/2	7	7	251	251	36	362	2	2	1	11/3	1/2	1/2	100	100	30	30
43	2021/1/27 0:40:40	1548秒	微信	繁花尽曲终散[男,江苏,连云港]	222.189.13.26(江苏-连云港)	1	1	1/2	1/2	4	5	507	508	143	143	2	3	1/2	1/2	0	0	1	1/2	36	54
45	2021/1/27 1:08:54	3244秒	微信	南有乔木[男,北京,海淀]	124.64.16.8(北京-北京)	1/8	1/8,1/4	0	0,1/2	6	6,7	251	251,493	143	143	2	1,2	1/4	1/4	1	1,0	1056	1056	52	52
46	2021/1/27 10:48:49	1009秒	微信	秋夕[男,吉林,长春]	124.234.236.227(吉林-长春)	1/2	1/2	1/2	1/2	5	9	251	251	149	149	2	2	1/4	1/4	2/7	1/6	1296	1296	54	54
47	2021/1/27 17:36:25	1364秒	微信	George[未知,,]	223.73.149.142(广东-中山)	1/3	1/2	1/2	1/2	7	7,8	493	492,493	36	35,36	2	2,3	1/2	1/2,1/4	1	1	100	100,81	72	72,90
48	2021/1/27 23:14:50	1025秒	微信	陈俊勇[男,,]	223.73.149.142(广东-中山)	1/2	1/2	0	1	8	8	1229	10000	135	45	3	2	1/4	1/2	0	0	256	256	54	54
49	2021/1/27 23:23:56	469秒	微信	旦宅[男,河北,邢台]	223.104.42.90(山西-未知)	13/128	1/8	1/2	1/2,0	7	7	493	493	35	35,36	1	1,2	0.1492	1/16	1	0,1/6,1	5904	95,904	52	52
50	2021/1/27 23:52:11	1758秒	微信	江小雨[女,,]	222.189.13.26(江苏-连云港)	1/4	1/2	1/2	1/2	7	7	490	489	143	143	2	2	1/2	1/2	0	1/2	196	196	72	36
51	2021/1/28 0:15:23	382秒	微信	听风乱人心[男,江苏,连云港]	223.104.146.230(江苏-连云港)	1/2	1/2	1/4	1/2	7	7	490	490	128	130	2	2	1/2	1/4	0	0	196	196	45	36
52	2021/1/28 0:30:02	828秒	微信	听风[女,,]	122.96.45.102(江苏-南京)	1/2	2/3	1/2	1/2	7	7	490	490	143	142	2	2	2/3	1/2	0	0	196	193	45	36
