序号	提交答卷时间	所用时间	来源详情	来自IP	1、您的围棋段位是？	2、黑先,净活	3、上一题你认为其他人比较可能选择的位置	4、黑先,净活	5、上一题你认为其他人比较可能选择的位置	6、黑先,净活	7、上一题你认为其他人比较可能选择的位置	8、黑先,净活	9、上一题你认为其他人比较可能选择的位置	10、黑先,净杀	11、上一题你认为其他人比较可能选择的位置	12、黑先,净杀	13、上一题你认为其他人比较可能选择的位置	14、黑先,净杀	15、上一题你认为其他人比较可能选择的位置	16、黑先,净杀	17、上一题你认为其他人比较可能选择的位置	18、黑先,净杀	19、上一题你认为其他人比较可能选择的位置	20、黑先,净杀	21、上一题你认为其他人比较可能选择的位置
11	2020/12/19 23:26:19	3051秒	N/A	N/A	无	T16	T16	Q19	Q19	S16	S16,T18,Q18	T18	T18,S17	S19	S19,Q18,T18,S16	R19	R19,S19	T18	T18,T17	T15	T15	T16	T16,R19	T18	T18,S17
12	2020/12/19 23:30:33	1293秒	N/A	N/A	小学一年级是1级 很久没下了 记得基本规则	T17	T17,S15	Q19	Q19,Q17	N18	N18	T18	T18	S19	S19,S18	S19	S19	T15	T15,T16	S16	S16	T16	T16	S17	S17
13	2020/12/19 23:40:47	1847秒	N/A	N/A	业余一段	T16	T16	Q19	Q19	T18	T18	S17	S17	S16	S16	R19	R19	T18	T18,T17,T16	T15	T15	T16	T16	T18	T18
14	2020/12/19 23:41:43	4070秒	N/A	N/A	业余5段	T16	T17	Q19	Q18	S16	T18	T18	S17	S19	Q18	S19	R19	T18	T15	T15	S14	T16	T18	T18	T17
15	2020/12/19 23:43:16	1830秒	N/A	N/A	6k	T17	T15	Q19	T18	S16	T18	S17	S17	S19	S19	S19	Q19	S17	T17	T15	S14	S15	S15	S17	T17
16	2020/12/19 23:45:47	1533秒	N/A	N/A	业余四段	T16	T16	Q17	Q17	S16	S16	T18	S17	Q18	Q18	Q19	Q19	T15	T17	T15	T15	S15	S15	T18	S17
17	2020/12/19 23:47:57	1042秒	N/A	N/A	2011年的业5	T16	T16	Q19	Q19	S16	S16,T18	T18	S17	S19	S19,Q18	Q19	Q19,R19	T18	T18,T17,T16	T15	T15	T16	T16,S15	T18	T18
18	2020/12/19 23:50:21	3909秒	N/A	N/A	2K	T16	T16	Q19	Q17	Q18	Q18	T18	T18	S16	S18	R19	S19	S17	S17	T15	S16	T16	T16	T18	T17
19	2020/12/19 23:56:51	4903秒	N/A	N/A	业余2段	T17	T16,S16	Q18	P19,T18	S16	S17,Q18	S17	S15	T18	S19,T17	T16	R19	T17	S17,S16	T15	S16	T16	T17	S17	T15
20	2020/12/20 0:00:21	3680秒	N/A	N/A	无	T17	T16	Q18	Q18	S16	S16	S17	不知道	S19	S19	Q19	Q19	不知道	不知道	T15	T15	S15	S15	S17	S17
21	2020/12/20 0:01:21	1838秒	N/A	N/A	业余3段	T16	T17,S15	Q19	Q17,T18	N18	S16,T18,Q18	T18	S17,S18	S19	Q18	R19	S19	T18	T17,T16,T15	T15	S16,T18	T16	S15,T17,T18,R19	T18	S17
22	2020/12/20 0:02:28	5085秒	N/A	N/A	忘了,大概6d	T16	T16	Q19	P19,Q19	S16	S16,T18	T18	T18,S17	S19	O18,S19	S19	Q18,R19,S19,Q19	T18	T18,T14	T15	T15	T18	T18,T17	T18	T18,T17,S17
23	2020/12/20 0:03:04	3848秒	N/A	N/A	业余三段	T16	T17	Q19	P19,Q17,Q18,T18	S16	T18,Q18	S17	S15	S19	Q18,S16,T18	Q19	T16,S19,R19	T18	T17	T15	R16	T16	T18	T18	S17,T17
24	2020/12/20 0:03:51	3444秒	N/A	N/A	1级	T16	T17	Q19	Q18	S16	T18	S17	S15	不知道	S16	R19	Q19	T18	T17	T15	S16	S15	T16	S17	T18
25	2020/12/20 0:05:12	1444秒	N/A	N/A	业5	T16	T16,T17	Q19	Q19,Q18	S16	S16	S17	S17	Q18	T18,S19	S19	R19、Q19	T18	T17,T16	T15	R16	T16	T16,T18	T18	T18,T17
26	2020/12/20 0:10:40	5515秒	N/A	N/A	5级	T17	S15	Q19	T18	S16	T18	S17	R17	Q18	S16	R19	T16	T17	S17	T16	S14	T16	T18	S17	T14
27	2020/12/20 0:22:10	3722秒	N/A	N/A	无	S15	S15	Q18	Q18	T18	T18	S17	S17	S19	S19	T16	T16	T16	T16	T15	T15	T16	T16	S17	S17
28	2020/12/20 0:24:22	1613秒	N/A	N/A	5d	T16	T18	Q19	Q18	T16	N18	T18	S17	S19	S18	S19	R18	T18	S17	T15	R16	T16	T18	T18	T17
29	2020/12/20 0:27:21	6591秒	N/A	N/A	2段	T16	T16	Q19	Q19	S16	S16	S17	S17	S18	S18	Q19	Q19	T18	T18	T15	T15	S15	S15	T18	T18
30	2020/12/20 0:34:05	3936秒	N/A	N/A	业余三段	T16	T16,S15,T17	Q19	Q19,P19,Q18	S16	S16,T18	T18	T18	S19	S19	Q19	S19,Q19,R19	T18	T18,T17	T15	R16,T15	T16	T16,S15	T18	T18,T17
31	2020/12/20 0:37:06	424秒	N/A	N/A	不知道	T17	T17	Q18	Q18	O16	O16	S17	不知道	S18	S18	不知道	不知道	T17	T17	S16	S16	T16	T16	T13	T13
32	2020/12/20 0:39:33	1178秒	N/A	N/A	5段	T16	T16	Q19	Q19	S16	T18	T18	S17	S19	Q18	Q19	S19	T18	T15	T15	T15	T16	S15	T18	S17
33	2020/12/20 0:56:51	1896秒	N/A	N/A	没有考过段位	T16	T16,T17	Q19	Q19,P19,Q18	S16	S16,T18,Q18	S17	S17	S19	S19	R19	R19,S19	T18	T18,T17	T15	T15	T16	T16	T18	T18,S17
34	2020/12/20 1:00:12	3357秒	N/A	N/A	无	T16	T16,T17	Q19	Q19,Q18	S16	S16	T18	T18,S18	S19	Q18	Q19	Q19	T18	T18,S17,T16	T15	T15	T16	T16,T18	S17	S17,T18
35	2020/12/20 1:04:39	921秒	N/A	N/A	5d	T16	T17	Q19	Q18,T18	S16	T18	T18 S17是不是都行…	感觉没什么别的选点了	S19	Q10	Q19	R19,S19,T16	T18	T16	T15	R16	T16	T18	T18	T17
36	2020/12/20 1:07:46	3758秒	N/A	N/A	入门	T17	S16	Q17	Q18	S16	Q18	S17	S15	S19,T18	S16,Q18	T16	R18	T17	S17,S16,T16	T15	T16	T16	S16,T17,T18	S17	T17,T14,T13
37	2020/12/20 1:08:32	2108秒	N/A	N/A	十五年前业余三段,现在估计1-3级	T17	T17	T18	T18	T18	S16	S17	S17	S19	T17	R19	R19	T18	T17	T15	T15	T18	T17	S17	S17
38	2020/12/20 1:21:50	2332秒	N/A	N/A	业余五段	T16	T16,T17	Q19	Q19,Q17	S16	S16,T18	S17	S17,T18	S19	S19,Q18,S16,T18	Q19	Q19,S19,R19,T16	T18	T18,T15	T15	T15	T16	S15,T16,T18	T18	T18,S17,T17
39	2020/12/20 2:02:36	882秒	N/A	N/A	业余三	S15	Q19,R19	Q18	T17,Q17	O16	R14	R1214	O	R15	R19	T14	P16	S16	Q19	T15	S14	S16	S15	Q15	S17
40	2020/12/20 2:33:35	5005秒	N/A	N/A	业余3段	T16	T16,T15	Q19	Q18,Q17	S16	S16	T18	R17,S15,S17	S19	T18,S19,S18	Q19	R19,S19	T18	T17,T18	T15	R16,T15	T16	S15,T16	T18	T17,S17
41	2020/12/20 8:11:40	805秒	N/A	N/A	2段	T16	T17	Q19	Q18	S16	T18	S17	S15	Q18	S19	R19	T16	T18	S17	T15	R16	T16	T18	T18	T13
42	2020/12/20 9:10:45	324秒	N/A	N/A	业余5段	T16	T16,T17,S15	Q19	Q19,Q18,T18	S16	S16,T18	T18	S17,T18	S19	S19,Q18,T18	Q19	Q19,S19,T16	T18	T18,S16,T17,T15	T15	T15,R16	T16	T16,T18	T18	T18,T17,S17
43	2020/12/20 10:59:31	4170秒	N/A	N/A	不知道	T17	S15	Q19	P19,Q17	T18	Q18	S17	S13	S19	T18,S16	Q19	R19	S16	T17	T15	S16,T16	S16	T18	S17	T17,T13
44	2020/12/20 11:00:42	2690秒	N/A	N/A	1段	T16	T15	Q19	Q17	无解,黑能活我倒立洗头	T18,S16	S17	S15	无解 杀不了	S16,T17	S19	T16	T17	S17	T15	T18	T16	T18	S17	T17
45	2020/12/20 13:33:23	9246秒	N/A	N/A	业余二段	T16	T16,S15	Q19	Q19	S16	S16	S17	S17,T18	S19	S19	S19	R19,S19	T18	T18	T15	T15	T16	T16,S15	T18	T18,S17
46	2020/12/20 13:40:46	3629秒	N/A	N/A	无	T16,S16	S16	P19	P19	S16	S16	S17	S18	S19	S19	S19	S19	T16	T16	S16	S16	T18	T18	S17	S17
47	2020/12/20 14:19:08	2193秒	N/A	N/A	业余3段	T16	T17	Q19	T18,Q17	S16	Q18,T18	T18	S17	S19	Q18	S19	T16,Q19	T18	T17,T15	T15	T18	T16	S15,T18	T18	T17
48	2020/12/20 14:38:21	3613秒	N/A	N/A	5k	S16	S16	Q19	Q19,P19	S16	S16	S17	S17	S19	S16	S19	T16	T17	S16	T15	R16,T18	S15	T16	T13	T13
49	2020/12/20 15:46:03	2332秒	N/A	N/A	无段位	T18	T18	P19	P19	R19	R19	T19	T19	T18	T18	S19	S19	T18	T18,T16	T18	T18,T12	S16	S16,T16	T14	T14,Q13
50	2020/12/20 16:10:14	2838秒	N/A	N/A	业余一段	T16	T16	Q19	P19	T18	S16	S17	S17 T18	S18	S18	Q18	Q18	T17	T17	R16	R16	T18	T18	S17	S17
51	2020/12/20 16:56:02	2541秒	N/A	N/A	业余5段	T16	T17	Q19	T18	S16	T18	T18	S17	S19	Q18	Q19	R19 S19	T18	T15	T15	R16	T16	R19	T18	S17
52	2020/12/20 17:39:18	4937秒	N/A	N/A	无	T17	T17	Q19	Q19	S16	S16	S17	S17	S19	S19	Q19	Q19,R19	T18	T18,T17,T16,T15	T15	T15	T16	T16,S15	T18	T18,S17
53	2020/12/20 18:01:32	6977秒	N/A	N/A	无段位	T16	T16,T17	Q18	Q18,Q17	T18	T18,S17	S18	S18,S17	S19	S19,T18	Q18	Q18,Q19	T18	T18,S16	T15	T15,S14	S15	S15	T18	T18,S17
54	2020/12/20 20:21:39	8364秒	N/A	N/A	业5	T16	T17	Q19	Q18	S16	S16	T18	S17	Q18	Q18	Q19	R19	T18	T17	T15	T15	T16	T18	T18	T18
55	2020/12/20 20:25:15	77969秒	N/A	N/A	一段	T17	T17	Q19	Q19,Q17	S16	S16,Q18	T18	S17,T18	S19	Q18,S19,S16	Q19	Q19,R19	T18	T18,T17	T15	R16,T15	T16	T16,S15	S17	S17,T17
56	2020/12/20 23:56:51	5434秒	N/A	N/A	无级别	T17	T17,T15	P19	P19,Q19	S16	S16	S17	S17,T18	不知道	S16,T18	R18	R18	T16	T16,T17	R16	R16,T15	T18	T18	T18	S17,T18
57	2020/12/21 10:36:23	7157秒	N/A	N/A	2段	T17	S15	Q18	T18	T18	S16	T18	S17	S19	T17	Q19	Q18,R17,S19	T18	T17,T16,S17,S16,T15	T15	S16	T16	T17	T18	T17,T13
58	2020/12/21 10:36:36	7839秒	N/A	N/A	无	T17	S15	Q18	Q19,T18	T18	Q18,S16	T18	S17	S19	T17	Q19	R17,Q18	T18	T16,T15	T15	S16,R16	T16	S16,	T18	T17,T13
59	2020/12/21 12:21:40	1023秒	N/A	N/A	不知道	T17	T16	P19	Q19	P16	S16	S15	T16	S16	T18,S19	R19	Q18	S14	T16	R16	S16	P16	S15	T13	T14
60	2020/12/21 13:33:05	611秒	N/A	N/A	无	S16	S17	Q18	Q17	Q18	P16	S17	T16	R19	Q18	R17	T14	T18	T15	T15	S16	O16	P16	S17	R17
61	2020/12/21 14:33:14	2864秒	N/A	N/A	2段	T17	T17	G17	G18	T18	S16	S18	S18	S16	S19	S19	S16	T15	T17	T15	T15	S15	S15	S17	S17
62	2020/12/21 16:01:18	1516秒	N/A	N/A	15K	T17	S15	P19	P18,Q19,Q18	P16	Q15,R18	S17	R17	S16	Q18,R15	R15	T16,T14	S16	S17	S16	R16	T16	P16	S17	R17,T17,Q13
63	2020/12/21 16:09:55	1706秒	N/A	N/A	没有段位	S15	S17	Q18	Q17	S16	S16	S17	S17	T19	R19	Q19	Q18	T17	T17	T15	T15	T16	S16	T13	T14
64	2020/12/21 18:09:57	6254秒	N/A	N/A	业余三段（十五年前）	T16	S16,T16,T17	Q19	Q19,Q18	S16	S16,T18	S17	S17,S18	不知道	S19,T18	R19	R19,Q19	不知道	T17,T16	T15	T15,S14	S15	S15,T18	T18	T18,T17
65	2020/12/21 18:27:01	1757秒	N/A	N/A	3	T17	T17	Q19	Q19	S16	S16	T18	T18	S19	S19	S19	S19	T18	T18	T15	T15	T16	T16	T18	T18
66	2020/12/21 18:57:12	378秒	N/A	N/A	1段	T16	T17	Q19	Q18	S16	S17	T18	S17	T18	S16	S19	R18	T18	S17	T15	S14	T17	S16	T18	T17
67	2020/12/21 23:28:50	24399秒	N/A	N/A	10k	T16	T16,T17,S17	Q17	Q17,Q18,P19,T18	S16	S16,Q18,T18	T18	T18,S17	S16	S16	Q19	R18,Q19	T16	T16,T17,T18	T15	T15,S16	S15	S15	S17	S17
68	2020/12/21 23:43:48	498秒	N/A	N/A	业余1段	T16	T16	Q19	Q19,Q18	不知道	不知道,T18	T18	T18,S17	S19	S19,Q18	S19	S19,R19	T18	T18	T15	T15	T16	T16,T17	T18	T18
69	2020/12/22 0:52:52	1036秒	N/A	N/A	业余二段	T17	T17	Q19	Q19	T18	T18	S17	S17	S19	S19	R19	R19	T16	T16	T15	T15	S15	S15	S17	S17
70	2020/12/22 11:16:59	5715秒	N/A	N/A	不知道,自学了一点	T16	T16,T17,T18,S16	Q19	T18,P19,Q18,Q19	T18	T18,Q18,R19	S17	S17,S18,T18	S19	S19,T18,S16,R19	R18	R18,R19,Q19	T17	T17,S17,T15	S16	S16,R16	T16	T16,S16,T18	T18	T18,T17,S17
71	2020/12/22 17:08:00	13393秒	N/A	N/A	k 18	S15	S15,S17,S16,T17	Q17	Q17,Q18	S16	S16	S15	S15,T16	R19	R19,Q18,S16	Q18	Q18,Q17	S16	S16,S17,T16	R16	R16	P16	P16,O15,O16	T17	T17
72	2020/12/22 18:20:04	2263秒	N/A	N/A	不清楚	T16	T17,T16	Q19	Q18,Q19	T18	S17,Q18,T18	S17	T16,S17	Q18	S16,Q18	R19	T16,R19,R16	T17	S17,T17	T15	S14,T15,S16	T16	T16,T18	T18	T18,T17,S17
73	2020/12/22 19:14:15	254秒	N/A	N/A	4段	T16	T15	Q19	Q18	S16	S17	T18	S18	T18	T17	S19	R19	T18	T17	T15	T14	T16	S16	T18	T17
74	2020/12/22 21:36:50	1309秒	N/A	N/A	无	S15	T17	P19	P19	S16	Q18	S18	S17	S16	S16	T16	R16	S17	S17	T15	R16	T17	S15	T17	T17
75	2020/12/22 23:59:29	8353秒	N/A	N/A	业余3段	T16	T17,S15	Q19	Q18,T18	S16	Q18	T18	S17	S19	Q18,T18	T16	Q19	T14	T17,T16	T15	S14,R16	T16	T18	T18	S17,T17
76	2020/12/23 0:36:17	291秒	N/A	N/A	不知道	T16	T16,T17	Q19	Q19,Q17	S16	S16	S17	S17	S19	S19,S16	R19	R19	T17	S17	T15	T15	T18	T18	S17	S17
