序号	提交答卷时间	所用时间	来源	来源详情	来自IP	"1、请回答一个0-100之间的整数。假设所有人对本题回答的平均数是y,如果你的回答和2/3*y最接近(即|你的回答-2/3*y|最小),就能获得奖励。"	2、猜猜上一题会有哪些常见的回答？(可以回答多个,请用逗号隔开)
19	2021/9/30 16:03:29	61秒	微信	没什么大不了[男,北京,]	124.205.77.144(北京-北京)	6	50,1,0
17	2021/9/30 16:03:26	90秒	微信	木东东🐚[男,北京,海淀]	223.104.38.113(北京-北京)	35	0,33,40,50
127	2021/9/30 17:01:54	30秒	微信	攀登[未知,,]	124.64.17.208(北京-北京)	30	30,40,50
105	2021/9/30 16:11:26	25秒	微信	人类观察员[男,北京,]	124.64.19.193(北京-北京)	42	37
11	2021/9/30 16:03:00	62秒	微信	苏博文[男,,]	223.104.39.248(北京-北京)	22	33,22,16
22	2021/9/30 16:03:37	101秒	微信	天地吾庐[未知,,]	124.205.77.90(北京-北京)	22	34,22,14,9,6
76	2021/9/30 16:07:25	218秒	微信	透明的梦[未知,,]	223.104.3.183(北京-北京)	50	66
39	2021/9/30 16:04:55	156秒	微信	玩矢量的Accelerator[男,上海,浦东新区]	124.205.76.34(北京-北京)	9	不知道
7	2021/9/30 16:02:54	34秒	微信	下午是蓝色[男,,]	124.205.77.17(北京-北京)	9	0,1,100
37	2021/9/30 16:04:52	169秒	微信	小雨飞扬[未知,,]	124.205.77.197(北京-北京)	24	50,66,100,0,20,16
52	2021/9/30 16:05:40	6秒	微信	月之暗面[男,,]	117.136.0.191(北京-北京)	0	0
29	2021/9/30 16:04:05	100秒	微信	张乐行[男,浙江,绍兴]	223.104.42.152(北京-北京)	0	0,1
110	2021/9/30 16:12:08	103秒	微信	赵恒星[未知,,]	124.205.77.240(北京-北京)	0	33,22,15,10,7
62	2021/9/30 16:06:26	202秒	微信	周嘉辰[男,浙江,温州]	124.205.76.5(北京-北京)	0	0,1
28	2021/9/30 16:04:03	48秒	微信	周鑫渝[男,浙江,台州]	223.104.38.81(北京-北京)	30	40
3	2021/9/30 16:02:43	44秒	微信	椎名[男,马德里,]	124.205.77.144(北京-北京)	20	30
64	2021/9/30 16:06:40	161秒	微信	租酥雨[男,湖南,长沙]	124.205.76.34(北京-北京)	11	66,44,15,10,6,4,2,1,0
